ingredient_name
Ba Chỉ Xông Khói
Ba Khía
Khoai môn
Khoai Sọ
Khoai tây
Kỉ Tử
Kim Chi
Kinh giới
Kiwi
Konnyaku Nâu
Lá Basil Khô
Lá Cà Ri
Lá Cách
Lá Cải Xanh
Lá cầm
Lá Cần Tàu
Lá chanh
Lá chanh khô
Lá chanh Thái
Lá Chúc
Lá Chùm Ruột Non
Lá chuối
Lá Cọ
Lá Cóc
Lá dong
Lá Dứa
Lá é
Lá giang
Lá Giang
Lá Gừng
Lá Hoành Thánh
Lá Hương Thảo
Lá lốt
Lá Me Đất
Lá Mơ
Lá nguyệt quế
Lá Ớt
Lá Quế
Lá Sả Tươi
Lá Sen
Lá Tàu Hũ
Lá Thyme Tươi
Lá Tía Tô
Lá Trà Xanh
Lạc Rang
Lạp xưởng
Lạt tre
Lê
Linh Chi Nâu
Lõi Sả
Lòng Đỏ Trứng
Lòng gà
Lòng heo
Lòng Non
Lòng Trắng Trứng
Lòng Vịt
Lưỡi heo
Lươn
Mắc Khén Rang
Mạch Nha
Mắm
Mắm cá
Mắm cá linh
Mắm Cá Lóc Ngon
Mắm Cá Sặc
Mắm Mặn Ớt Xắt
Mắm nêm
Mầm Rau Muống
Mắm ruốc
Mắm Tép Chua
Mắm tôm
Mận
Măng chua
Măng Củ Tươi
Măng Cụt
Măng khô
Măng Le
Măng Luộc
Măng Lưỡi Lợn
Măng Tây
Măng Trúc
Măng tươi
Măng Vàng
Măng Vầu
Mật ong
Mật Ong
Màu Lá Cẩm
Màu Nước Dành Dành
Mayonnaise
Me
Mẻ
Mè đen
Mè Rang
Mè trắng
Men nở
Mì
Mì Quảng
Mì Spaghetti
Mì Tươi
Mì Ý
Mía
Miến
Mít Non
Mỡ
Mỡ gà
Mỡ heo
Mỡ Vịt
Mọc
Mộc nhĩ
Mồng tơi
Mù Tạt
Mực
Mực khô
Mực Lá Không Đầu
Mực ống
Mũi Lợn
Muối
Muối Ớt Tắc
Muối Tôm
Mướp
Mứt Cam
Mứt Dâu
Mứt Trái Cây
Nạc Cá Lóc
Nạc Dăm
Nấm
Nấm Bạch Linh Đen
Nấm bào ngư
Nấm Các Loại
Nấm Đầu Khỉ
Nấm Đông Cô
Nấm Hải Sản Trắng
Nấm hương
Nấm kim châm
Nấm Linh Chi
Nấm Lộc Nhung
Nấm mèo
Nấm Mỡ
Nấm Mối
Nấm Nhật
Nấm Nút
Nấm rơm
Nấm Tràm Khô
Nấm Tuyết
Nem chua
Nem Chua Chay
Ngải bún
Nghệ
Nghệ bột
Nghêu
Ngò gai
Ngó Khoai Môn
Ngò om
Ngó Sen
Ngò Tây
Ngọc Kê
Ngọc Mực
Ngồng Cải
Ngũ Cốc Hạt
Ngũ vị hương
Ngưu Bàng
Nguyên Liệu Vịt Quay
Nha Đam
Nhãn Khô
Nho
Nho Khô
Nhộng
Nụ Đinh Hương
Nui
Nước
Nước Ấm
Nước Cam
Nước Cam Vàng
Nước Chao
Nước cốt dừa
Nước Cốt Gừng
Nước Cốt Me
Nước Cốt Nghệ Tươi
Nước Cốt Riềng
Nước Cốt Tắc
Nước Cốt Thơm
Nước Củ Kiệu
Nước Dành Dành
Nước Dảo Dừa
Nước Dừa
Nước dừa tươi
Nước Dùng
Nước Dùng Chay
Nước Dùng Hầm Từ Xương
Nước Ép Khế Chua
Nước Kim Chi
Nước Lá Cẩm
Nước Lá Dứa
Nước mắm
Nước màu
Nước Mía
Nước Nghệ
Nước Riềng
Nước Sả
Nước Soda
Nước Táo
Nước Táu
Nước Thơm
Nước Trà Xanh
Nước tương
Ốc Cà Na
Ốc Hương
Ốc Lác
Ốc Mỡ
Ốc Móng Tay
Ổi
Ớt
Ớt bột
Ớt chuông
Ớt xiêm xanh
Pate
Pate gan
Phèn Chua
Phi Lê Cá Cam
Phở
Phô mai
Phô Mai Bào Sợi
Phô Mai Chedda
Phô Mai Mozzarella
Quất
Quế
Radish
Ram khô
Rau Ăn Lẩu
Rau cải
Rau cần nước
Rau Cuốn
Rau đắng
Rau Đay
Rau dền
Rau Diếp Cá
Rau Dưa
Rau Dừa
Rau Ghém
Rau Lang
Rau Má
Rau Mầm
Râu Mực
Rau mùi
Rau mùi khô
Rau muống
Rau Nêm
Rau ngót
Rau nhút
Rau Om
Rau Ôm
Rau Quế
Rau răm
Rau Rừng
Rau Sam
Rau sống
Rau Tần Ô
Rau Thì Là
Rau thơm
Rau Tía Tô
Rau Tiến Vua Khô
Rau Xà Lách
Rễ Ngò
Rễ Thì Là
Riềng
Romanie
Rong Nho
Ruốc Khô
Ruốc Tươi
Ruột già
Rượu Brandy
Rượu Mai Quế Lộ
Rượu Mirin
Rượu Nếp
Rượu Ngũ Vị
Rượu Rum
Rượu Sake
Rượu trắng
Rượu Vang Đỏ
Rượu Vang Trắng
Sả
Sa tế
Sa Tế
Salad Á
Salad Nấm Linh Chi
Salad Romaine
Salad Roman
Sấu
Sầu Riêng
Siro Dâu
Sò Điệp
Sò huyết
Sò Lông
Socola
Sợi cao lầu
Sốt Lẩu Thái (Tom Yum)
Su Hào
Su Su
Sữa Chua
Sữa đặc
Sữa Đậu Nành
Sữa tươi
Sườn Cây
Sườn Chay
Sườn heo
Sườn Non
Sườn Sụn
Súp Miso
Súp Phở Chay
Syrup Đào
Tabasco
Tai Chua
Tai Lợn
Tai Vị
Tần ô (Cải cúc)
Táo
Táo Tàu
Tàu hũ ky
Tép
Thảo quả
Thì là
Thính gạo
Thịt ba chỉ
Thịt Băm
Thịt Bê
Thịt bò
Thịt bò tái
Thịt Càng Ghẹ
Thịt Cốt Lết
Thịt cua
Thịt Đà Điểu
Thịt dăm bông
Thịt Đầu Vai
Thịt Dê
Thịt Đùi
Thịt Đùi Dê
Thịt Ếch
Thịt gà
Thịt Hến
Thịt heo
Thịt heo xay
Thịt Mực Chay
Thịt nạc
Thịt nạc vai heo
Thịt Nách
Thịt ngan
Thịt Nghêu
Thịt nguội
Thịt Nguội Chay
Thịt Ốc Bươu
Thịt Ốc Giác
Thịt Ốc Lác
Thịt Ốc Miếng
Thịt Ốc Móng Tay
Thịt Quay
Thịt Thăn Ngoại
Thịt vịt
Thịt Vịt
Thịt Xá Xíu
Thịt Xay
Thịt Xông Khói
Thơm
Thuốc Bắc
Tía tô
Tiết vịt
Tiêu
Tiêu xay
Tim heo
Tóc Tiên
Tỏi
Tỏi băm
Tôm
Tôm Càng
Tôm Chay
Tôm Chua
Tôm Đất
Tôm Hấp
Tôm khô
Tôm sú
Tôm thẻ
Tôm Thẻ
Tôm Tươi
Tôm Viên
Tóp Mỡ
Trà Đào Hương Cam Sả Blendy
Trà Matcha Sữa Blendy Ổi
Trà Sữa Blendy Royal
Trà Sữa Royal Blendy
Trà Tim Sen Gừng Táo Đỏ Blendy
Trái Sung Khô
Trứng
Trứng Bắc Thảo
Trứng Cá
Trứng Cá Chuồn
Trứng Cá Hồi
Trứng Cá Thu
Trứng cút
Trứng gà
Trứng vịt
Tương Bần
Tương cà
Tương Chua Ngọt
Tương Đậu Hàn Quốc
Tương Đậu Nành
Tương đen
Tương Đỏ
Tương Hạt Xay
Tương Hột
Tương Mè Trắng
Tương ớt
Tương Ớt
Tương Tàu Xì
Tương Xí Muội
Ức gà
Váng Đậu Tươi
Vani
Vây Cá Hồi
Vẹm
Viên Thả Lẩu
Vỏ Bánh Gyoza Ổi
Vỏ Cam Mài
Vỏ Quýt Khô
Vỏ Ram Xấp
Vỏ Tắc
Vừng
Wakame
Whipping Cream
Xà nách
Xoài
Xoài xanh
Xôi Đậu Phộng
Xôi Đậu Xanh
Xôi Trắng
Xốt Mận
Xốt Mayonnaise
Xốt Mè
Xốt Okonomiyaki
Xốt Ớt Đậu
Xốt Ớt Hàn Quốc
Xốt Tabasco
Xốt Takoyaki
Xốt Tương Đậu Nành Lisa
Xúc Xích
Xúc Xích Chay
Xương bò
Xương Gà
Xương heo
Xương Ống
Xương Xí Quách
Yến mạch
